,Unnamed: 0,Name,Station,FirstCategory,SecondCategory,TotalRating,ReviewNum,Lat,Long,Category,DinnerPriceLow,DinnerPriceHigh,LunchPriceLow,LunchPriceHigh
33,34,Yasuma  ,Kawaramachi,Izakaya (Tavern),Kyoto Cuisine,3.02,26,35.004371682583,135.769744061055,Izakaya (Tavern) Kyoto Cuisine,￥3000,￥3999,,
34,35,In the Soup.  ,Gion Shijo,Bar,Bistro,3.02,5,35.004126761561,135.772765765823,Bar Bistro,￥3000,￥3999,￥1000,￥1999
35,36,Gionyakinikukokoro  ,Gion Shijo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.06,5,35.0056702531591,135.775375200267,Yakiniku (BBQ Beef) Horumon (BBQ Offel),￥5000,￥5999,,
36,37,daininguba-daburyu-  ,Gion Shijo,Kappo (Traditional Japanese),Steak,3.25,17,35.0051366514701,135.772647118069,Kappo (Traditional Japanese) Steak,￥4000,￥4999,,
37,38,Kyoutodaina  ,Karasuma,Bistro,Bar,3.54,82,35.0053067461152,135.763880776774,Bistro Bar,￥3000,￥3999,￥2000,￥2999
38,39,Zasoudouhigashiyamakyouto  ,Gion Shijo,Italian,Pasta,3.61,272,34.9988963304625,135.779667933418,Italian Pasta,￥6000,￥7999,￥2000,￥2999
39,40,Gokyou  ,Jujo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.04,2,34.9754043250388,135.759545963938,Yakiniku (BBQ Beef) Horumon (BBQ Offel),￥3000,￥3999,,
40,41,Ichifuji  ,Shijo,Izakaya (Tavern),Kappo (Traditional Japanese),3.05,12,35.0013745798691,135.758233210577,Izakaya (Tavern) Kappo (Traditional Japanese),￥4000,￥4999,,
41,42,Tsukihikarasuma  ,Shijo,Izakaya (Tavern),Creative cuisine,3.17,35,35.0014042831755,135.757332172929,Izakaya (Tavern) Creative cuisine,￥4000,￥4999,￥1000,￥1999
42,43,Kyoutotempuraendou  ,Higashiyama,Tempura,Kaiseki (Traditional Japanese),3.55,6,35.016166715603,135.78025014546,Tempura Kaiseki (Traditional Japanese),￥10000,￥14999,￥5000,￥5999
43,44,Resutoraniro  ,Karasuma,Izakaya (Tavern),Creative cuisine,3.08,31,35.0029150541461,135.763259341262,Izakaya (Tavern) Creative cuisine,￥4000,￥4999,,
44,45,Shuteimichiya  ,Karasuma Oike,Izakaya (Tavern),Seafood,3.06,1,35.0133219216821,135.758725397401,Izakaya (Tavern) Seafood,￥5000,￥5999, ,￥999
45,46,Trattoria La Pace  ,Karasuma,Italian,Pizza,3.51,52,35.0052600869409,135.763347606931,Italian Pizza,￥4000,￥4999,￥1000,￥1999
46,47,Izakayabambu  ,Kyoto,Izakaya (Tavern),Kappo (Traditional Japanese),3.02,20,34.98456517764,135.753134407968,Izakaya (Tavern) Kappo (Traditional Japanese),￥3000,￥3999,,
47,48,Peppa  ,Kawaramachi,Okinawan Cuisine,Izakaya (Tavern),3.08,11,35.0051163351892,135.770318423513,Okinawan Cuisine Izakaya (Tavern),￥3000,￥3999,,
48,49,Banikuryourisemmontenumayarou  ,Kawaramachi,Yakiniku (BBQ Beef),Shabu Shabu (Japanese Steamboat),3.51,52,35.0047958114895,135.770292758504,Yakiniku (BBQ Beef) Shabu Shabu (Japanese Steamboat),￥3000,￥3999,,
49,50,Teppanryourihanaroku  ,Gojo,Teppanyaki,Kyoto Cuisine,3.47,2,34.9934590606226,135.759549576809,Teppanyaki Kyoto Cuisine,￥10000,￥14999,,
50,51,Kyoutohanabi  ,Karasuma,Izakaya (Tavern),Japanese food (other),3.12,25,35.0026723205949,135.762557509078,Izakaya (Tavern) Japanese food (other),￥2000,￥2999,,
51,52,Kyoutohananomai  ,Kyoto,Izakaya (Tavern),Seafood,3.04,11,34.9867909098527,135.760974487706,Izakaya (Tavern) Seafood,￥3000,￥3999, ,￥999
52,53,pontochoutanrakuyatoriume  ,Sanjo,Yakitori (Grilled chicken),Izakaya (Tavern),3.05,7,35.0076732995129,135.771211287189,Yakitori (Grilled chicken) Izakaya (Tavern),￥4000,￥4999,,
53,54,Osakanadekoboko  ,Kyoto,Izakaya (Tavern),Seafood,3.42,18,34.9897025458045,135.761142673015,Izakaya (Tavern) Seafood,￥3000,￥3999,,
54,55,Sunny  ,Sanjo,Dining bar,Steak,3.48,39,35.0088126166557,135.770899871707,Dining bar Steak,￥3000,￥3999,￥1000,￥1999
